waist,shoulder,elbow,wrist_angle,wrist_rotate,gripper,left_finger,right_finger
0.0153398,-1.89753,1.70272,0.585981,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.896,1.70272,0.578311,-0.0644272,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89447,1.70272,0.570641,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89447,1.70425,0.562971,-0.0644272,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89293,1.70272,0.553767,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.8914,1.70272,0.544563,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88986,1.70272,0.532291,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88833,1.70272,0.521553,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88526,1.70272,0.51235,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88219,1.70272,0.500078,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.87913,1.70118,0.48934,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.87606,1.70118,0.477068,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.87146,1.69965,0.46633,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.86839,1.69965,0.454058,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.86379,1.69812,0.441786,-0.0644272,-0.467864,0.0141768,-0.0141768
0.0153398,-1.85765,1.69965,0.431049,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.85151,1.69812,0.420311,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0168738,-1.84538,1.69812,0.408039,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.83924,1.69658,0.397301,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0168738,-1.83157,1.69658,0.386563,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0184078,-1.82237,1.69658,0.375825,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0199418,-1.81317,1.69505,0.365087,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0230097,-1.80396,1.69351,0.35435,-0.0644272,-0.46633,0.0141901,-0.0141901
